"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"DIP-30_1_ELL";1;"ESP32Dev";;;
2;"C1,C3";"C_0805_HandSoldering";2;"100nF";;;
3;"C2,C4";"C_0805_HandSoldering";2;"50nF";;;
4;"C5,C6,C7,C8";"C_0805_HandSoldering";4;"10nF";;;
5;"D1";"Resistor_Horizontal_RM7mm";1;"DIODE";;;
6;"IC1";"DIP-8_W7.62mm_LongPads";1;"MCP2562FD";;;
7;"P3";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"TERM_R";;;
8;"R1,R3,R6,R8,R10,R13";"R_0805_HandSoldering";6;"10K";;;
9;"R2,R4";"R_0805_HandSoldering";2;"3K3";;;
10;"R7,R9,R11,R14";"R_0805_HandSoldering";4;"2K2";;;
11;"R12,R15,R16";"R_0805_HandSoldering";3;"4K7";;;
12;"U1";"DIP-14_W7.62mm_LongPads";1;"74HC14";;;
13;"U3";"JDY-40-TH";1;"JDY40";;;
14;"R17";"R_0805_HandSoldering";1;"120R";;;
15;"K1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"1W1";;;
16;"P1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"PULSE_IN";;;
17;"P4";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"CAN";;;
18;"P7";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"I2C1";;;
19;"P9";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"ANALOG IN";;;
20;"U5";"BMP280";1;"BMP280";;;
21;"U6";"ADS1115";1;"ADS1115";;;
22;"U4";"DC-DC-Converter";1;"DCDCConverter";;;
